topic_number,buckets,authors,posts,post_author_ratio
78,0.7,1,1,1.0
78,0.8,0,0,-1.0
78,0.9,0,0,-1.0
78,1.0,0,0,-1.0
79,0.1,2,2,1.0
79,0.2,3,3,1.0
79,0.3,2,2,1.0
79,0.4,6,6,1.0
79,0.5,1,1,1.0
79,0.6,5,5,1.0
79,0.7,1,1,1.0
79,0.8,0,0,-1.0
79,0.9,0,0,-1.0
79,1.0,0,0,-1.0
81,0.1,10,10,1.0
81,0.2,5,5,1.0
81,0.3,4,4,1.0
81,0.4,1,1,1.0
81,0.5,1,1,1.0
81,0.6,2,18,9.0
81,0.7,0,0,-1.0
81,0.8,0,0,-1.0
81,0.9,0,0,-1.0
81,1.0,1,1,1.0
82,0.1,6,6,1.0
82,0.2,4,4,1.0
82,0.3,3,3,1.0
82,0.4,2,3,1.5
82,0.5,2,3,1.5
82,0.6,1,1,1.0
82,0.7,0,0,-1.0
82,0.8,0,0,-1.0
82,0.9,0,0,-1.0
82,1.0,0,0,-1.0
83,0.1,13,13,1.0
83,0.2,14,15,1.0714285714285714
83,0.3,3,3,1.0
83,0.4,9,9,1.0
83,0.5,1,1,1.0
83,0.6,2,2,1.0
83,0.7,0,0,-1.0
83,0.8,1,1,1.0
83,0.9,0,0,-1.0
83,1.0,0,0,-1.0
84,0.1,5,5,1.0
84,0.2,8,8,1.0
84,0.3,4,4,1.0
84,0.4,1,1,1.0
84,0.5,3,3,1.0
84,0.6,0,0,-1.0
84,0.7,0,0,-1.0
84,0.8,0,0,-1.0
84,0.9,0,0,-1.0
84,1.0,0,0,-1.0
85,0.1,7,7,1.0
85,0.2,4,4,1.0
85,0.3,2,2,1.0
85,0.4,1,1,1.0
85,0.5,0,0,-1.0
85,0.6,1,1,1.0
85,0.7,1,3,3.0
85,0.8,0,0,-1.0
85,0.9,1,2,2.0
85,1.0,0,0,-1.0
86,0.1,8,8,1.0
86,0.2,4,4,1.0
86,0.3,2,2,1.0
86,0.4,3,4,1.3333333333333333
86,0.5,2,2,1.0
86,0.6,1,1,1.0
86,0.7,0,0,-1.0
86,0.8,0,0,-1.0
86,0.9,0,0,-1.0
86,1.0,0,0,-1.0
87,0.1,9,9,1.0
87,0.2,6,6,1.0
87,0.3,9,10,1.1111111111111112
87,0.4,5,5,1.0
87,0.5,4,4,1.0
87,0.6,1,2,2.0
87,0.7,1,1,1.0
87,0.8,0,0,-1.0
87,0.9,0,0,-1.0
87,1.0,0,0,-1.0
88,0.1,0,0,-1.0
88,0.2,0,0,-1.0
88,0.3,0,0,-1.0
88,0.4,0,0,-1.0
88,0.5,0,0,-1.0
88,0.6,1,1,1.0
88,0.7,3,3,1.0
88,0.8,2,2,1.0
88,0.9,0,0,-1.0
88,1.0,0,0,-1.0
89,0.1,20,20,1.0
89,0.2,5,5,1.0
89,0.3,6,6,1.0
89,0.4,3,3,1.0
89,0.5,1,1,1.0
89,0.6,0,0,-1.0
89,0.7,3,3,1.0
89,0.8,0,0,-1.0
89,0.9,0,0,-1.0
89,1.0,0,0,-1.0
90,0.1,6,6,1.0
90,0.2,5,6,1.2
90,0.3,1,1,1.0
90,0.4,2,2,1.0
90,0.5,0,0,-1.0
90,0.6,1,1,1.0
90,0.7,0,0,-1.0
90,0.8,3,3,1.0
90,0.9,0,0,-1.0
90,1.0,0,0,-1.0
91,0.1,21,21,1.0
91,0.2,6,6,1.0
91,0.3,3,3,1.0
91,0.4,1,1,1.0
91,0.5,4,4,1.0
91,0.6,1,2,2.0
91,0.7,2,2,1.0
91,0.8,0,0,-1.0
91,0.9,0,0,-1.0
91,1.0,0,0,-1.0
92,0.1,5,5,1.0
92,0.2,6,6,1.0
92,0.3,4,4,1.0
92,0.4,3,3,1.0
92,0.5,1,1,1.0
92,0.6,1,1,1.0
92,0.7,0,0,-1.0
92,0.8,0,0,-1.0
92,0.9,0,0,-1.0
92,1.0,0,0,-1.0
93,0.1,8,9,1.125
93,0.2,4,4,1.0
93,0.3,4,4,1.0
93,0.4,2,2,1.0
93,0.5,0,0,-1.0
93,0.6,1,1,1.0
93,0.7,0,0,-1.0
93,0.8,0,0,-1.0
93,0.9,0,0,-1.0
93,1.0,0,0,-1.0
94,0.1,22,22,1.0
94,0.2,6,6,1.0
94,0.3,7,7,1.0
94,0.4,5,5,1.0
94,0.5,0,0,-1.0
94,0.6,0,0,-1.0
94,0.7,0,0,-1.0
94,0.8,0,0,-1.0
94,0.9,0,0,-1.0
94,1.0,0,0,-1.0
95,0.1,3,3,1.0
95,0.2,5,5,1.0
95,0.3,8,9,1.125
95,0.4,2,2,1.0
95,0.5,1,1,1.0
95,0.6,0,0,-1.0
95,0.7,0,0,-1.0
95,0.8,0,0,-1.0
95,0.9,0,0,-1.0
95,1.0,0,0,-1.0
96,0.1,7,7,1.0
96,0.2,1,2,2.0
96,0.3,2,2,1.0
